cause_i,effect_j,lingam_b_ij,b_median_bootstrap,b_iqr_low,b_iqr_high,bootstrap_freq,is_stable_edge,has_path,n_int_cells,mw_pvalue_raw,mw_p_bh,wasserstein,verdict,mw_pvalue_raw_rev,mw_p_bh_rev
ENSG00000109475,ENSG00000145592,0.0,0.0,0.0,0.0,0.04,False,False,264,5.773367338411089e-14,1.1064747566900381e-13,0.1314285543470165,false_omission,0.47913395720385443,0.5034482177186769
ENSG00000138326,ENSG00000089157,0.0,0.0,0.0,0.0,0.06,False,True,194,3.7348341541199944e-14,7.263323879835569e-14,0.13001433992259248,indirect_path,2.877516489844624e-10,4.846343561843578e-10
ENSG00000168028,ENSG00000198755,0.0,0.0,0.0,0.0,0.11,False,True,179,1.8117623243660948e-08,2.859822144290876e-08,0.1286913788788849,indirect_path,1.2481597607020517e-15,2.5693113202755685e-15
ENSG00000174748,ENSG00000161970,0.0,0.0,0.0,0.0,0.12,False,False,134,0.035893506917006913,0.042540452642378566,0.12845718208736334,false_omission,1.780063371978312e-23,5.236063846264895e-23
ENSG00000105372,ENSG00000089157,0.0,0.0,0.0,0.0322118700900869,0.32,False,True,337,1.150270940125464e-12,2.0587900216482884e-12,0.12832384915823336,indirect_path,6.193759927329159e-06,8.838662815215664e-06
ENSG00000265681,ENSG00000134419,0.0,0.0,0.0,0.02219097927565649,0.28,False,False,119,8.976767858317908e-06,1.2639289144511613e-05,0.12669538555403947,false_omission,5.71171805033068e-47,4.8641727912493536e-46
ENSG00000170889,ENSG00000083845,0.0,0.0,0.0,0.0,0.19,False,False,221,2.6793395400192245e-09,4.373079682009739e-09,0.12647996087188615,false_omission,1.2071154027382753e-38,6.570690027276385e-38
ENSG00000188846,ENSG00000109475,0.0,0.0,0.0,0.0,0.21,False,False,176,2.723811575351652e-07,4.1386259331961794e-07,0.125881929273531,false_omission,2.4345303465441743e-21,6.395184193907085e-21
ENSG00000167526,ENSG00000137818,0.0,0.0,0.0,0.0,0.0,False,False,270,1.484917723849488e-11,2.5833165014580882e-11,0.12560247499371613,false_omission,0.706951419268081,0.7226918671317459
ENSG00000089157,ENSG00000265681,0.0,0.0,0.0,0.0,0.0,False,False,147,4.3464086507282254e-08,6.769627632992634e-08,0.12496250675403583,false_omission,3.4118892201413114e-08,5.329815113120155e-08
